Area,Shortcut,Platform,Scope/Context,Precondition,Steps,Expected Behavior,Prevent Default,Result,Notes
Drawing,Key R,Windows/macOS,Workspace (Canvas focused),Canvas loaded and focused,"Press R","Rectangle tool selected; toolbar highlights Rectangle; status bar updates",true,, 
Drawing,Key C,Windows/macOS,Workspace (Canvas focused),Canvas loaded and focused,"Press C","Circle tool selected; toolbar highlights Circle; status bar updates",true,, 
Drawing,Key L,Windows/macOS,Workspace (Canvas focused),Canvas loaded and focused,"Press L","Line tool selected; toolbar highlights Line; status bar updates",true,, 
Drawing,Key A,Windows/macOS,Workspace (Canvas focused),Canvas loaded and focused,"Press A","Arc tool selected; toolbar highlights Arc; status bar updates",true,, 
Drawing,Key P,Windows/macOS,Workspace (Canvas focused),Canvas loaded and focused,"Press P","Polygon tool selected; toolbar highlights Polygon; status bar updates",true,, 
Edit,Ctrl/Cmd+Z,Windows/macOS,Global (no modal; canvas or list focused),At least one operation to undo,"Press Ctrl/Cmd+Z","Undo last operation; history pointer moves back; UI updates",true,, 
Edit,Ctrl/Cmd+Y,Windows/macOS,Global (no modal; canvas or list focused),At least one operation to redo,"Press Ctrl/Cmd+Y","Redo last undone operation; history pointer moves forward; UI updates",true,, 
Edit,Ctrl/Cmd+Shift+Z,Windows/macOS,Global (no modal; canvas or list focused),At least one operation to redo,"Press Ctrl/Cmd+Shift+Z","Redo last undone operation; same as Ctrl/Cmd+Y",true,, 
Edit,Delete,Windows/macOS,Workspace (Canvas focused, selection exists),One or more items selected,"Press Delete","Selected items removed; confirmation if destructive per policy",true,, 
Edit,Ctrl/Cmd+A,Windows/macOS,Workspace or list grid (focused),Multiple selectable items exist,"Press Ctrl/Cmd+A","All items selected in focused scope (canvas/list)",true,, 
Edit,Ctrl/Cmd+D,Windows/macOS,Workspace (Canvas focused),Selection exists,"Press Ctrl/Cmd+D","Selection cleared",true,, 
View,Home,Windows/macOS,Workspace (Canvas focused),Canvas contains drawable content,"Press Home","Zoom to fit entire drawing in viewport",true,, 
View,Ctrl/Cmd+0,Windows/macOS,Workspace (Canvas focused),Canvas contains drawable content,"Press Ctrl/Cmd+0","Reset zoom to default (100% or app default)",true,, 
View,Plus/=,Windows/macOS,Workspace (Canvas focused),Canvas contains drawable content,"Press + or =","Zoom in by one step",true,, 
View,Minus,-,Windows/macOS,Workspace (Canvas focused),Canvas contains drawable content,"Press -","Zoom out by one step",true,, 
View,Space + Drag,Windows/macOS,Workspace (Canvas focused),Canvas contains drawable content,"Hold Space, drag mouse","Pan canvas following drag vector",true,, 
Project,Ctrl/Cmd+N,Windows/macOS,Global (no blocking modal),Authenticated session,"Press Ctrl/Cmd+N","Open New Project wizard; existing unsaved changes prompt if necessary",true,, 
Project,Ctrl/Cmd+O,Windows/macOS,Global (no blocking modal),Authenticated session,"Press Ctrl/Cmd+O","Open Project dialog",true,, 
Project,Ctrl/Cmd+S,Windows/macOS,Global (no blocking modal),Project loaded,"Press Ctrl/Cmd+S","Save current project; show save progress/success",true,, 
Project,Ctrl/Cmd+Shift+S,Windows/macOS,Global (no blocking modal),Project loaded,"Press Ctrl/Cmd+Shift+S","Open Save As dialog; require name/location",true,, 
Project,Ctrl/Cmd+P,Windows/macOS,Global (no blocking modal),Project loaded,"Press Ctrl/Cmd+P","Open Print/Export dialog",true,, 
Help,Question Mark (?),Windows/macOS,Global (not in text input),No modal open,"Press ?","Open Keyboard Shortcuts modal",true,, 
Help,F1,Windows/macOS,Global,"Focused component has context help","Press F1","Open context help for focused area",true,, 
Search,Slash (/),Windows/macOS,Projects page or any page with global search,No text input focused,"Press /","Focus global search input; caret placed at end",true,, 
Bulk Ops,Shift+Click,Windows/macOS,Projects/Positions list or grid,Multiple items visible,"Shift+Click two items","Select range between previously focused item and clicked item",false,, 
Bulk Ops,Ctrl/Cmd+Click,Windows/macOS,Projects/Positions list or grid,Multiple items visible,"Ctrl/Cmd+Click items","Toggle selection state of clicked items",false,, 
Bulk Ops,Ctrl/Cmd+E,Windows/macOS,Projects/Positions list or grid,At least one item selected,"Press Ctrl/Cmd+E","Open Bulk Edit dialog",true,, 
Bulk Ops,Ctrl/Cmd+Shift+E,Windows/macOS,Projects/Positions list or grid,At least one item selected,"Press Ctrl/Cmd+Shift+E","Open Bulk Export dialog",true,, 
Navigation,Tab/Shift+Tab,Windows/macOS,Workspace (Canvas focused),Multiple selectable items exist,"Press Tab repeatedly","Cycle through selectable elements in deterministic order; Shift+Tab reverses",true,, 
Transform,F,Windows/macOS,Workspace (Canvas focused),Selection exists,"Press F","Flip horizontally (or open flip menu); visual update in canvas",true,, 
Transform,Shift+F,Windows/macOS,Workspace (Canvas focused),Selection exists,"Press Shift+F","Flip vertically (or open flip menu); visual update in canvas",true,, 
Properties,E,Windows/macOS,Workspace (Canvas focused; properties panel present),Selection exists,"Press E","Focus first editable field in Properties Panel",true,, 
Modal,Esc,Windows/macOS,Modal open,Any modal open,"Press Esc","Close modal or cancel operation; restore focus to invoking control",true,, 
Modal,Enter,Windows/macOS,Modal open,Confirm button available,"Press Enter","Activate primary action (if safe); otherwise no-op per context",true,, 
Text Safety,Ctrl/Cmd+Z in input,Windows/macOS,Focused text input,Input has text,"Type, then Ctrl/Cmd+Z","Native undo in input; app-level undo suppressed",true,, 
Text Safety,Ctrl/Cmd+F in input,Windows/macOS,Focused text input,,"Press Ctrl/Cmd+F","Native find in input or no-op; global search not triggered",true,,
